id,area,feature,classification,finding,source_references,verification,priority,next_step
F19,Accounts,"Identity verification, selfie checks and document vault",Not working at all,"KYC is a flag, not a verification workflow. Manage Documents only shows a toast; no secure document upload, selfie matching, reviewer evidence or vault implementation is supplied. Admin “verify” just sets flags.",assets/js/site.js:2197-2200; api/admin-action.php:48-52,Source review; handler inventory,P0,Remove unearned verification claims; implement a genuine verification/evidence process.
F20,Accounts,Email and phone verification,Not working at all,Phone presence is treated as “Phone verified”; emailVerified is inferred from an admin-set status label. There is no email-token or phone-OTP verification path.,includes/view.php:104-118; assets/js/site.js:2188-2199; api/admin-action.php:48-52,Source review,P0,Track verified timestamps only after independent verification challenges.
F21,Accounts,Customer two-factor authentication/security centre,Not working at all,"Every account is shown “SMS + authenticator”; there is no enrolment, secret/challenge, recovery-code or enforcement workflow. Manage Security only toasts.",assets/js/site.js:2202-2207; api/account.php:1-44,Source review,P0,Do not claim enabled 2FA until enrolment and enforcement exist.
F22,Accounts,Personal data export/erasure,Not working at all,"The account page says export and erase are ready, but no corresponding user workflow or endpoint is supplied. Admin CSV downloads are not personal-data export/erasure.",assets/js/site.js:2202-2207; api/account.php:1-44,Repository endpoint inventory,P1,Implement identity-checked export and retention-aware deletion; obtain compliance review.
F23,Accounts,Currency display preference,Fully operational/functional,NGN/USD/GBP/EUR display conversion uses stored rates; the selected currency persists on reload. This does not provide FX settlement or a live exchange-rate feed: reservations are recorded in NGN.,assets/js/site.js:2249-2255; assets/js/site.js:4168-4175; includes/helpers.php:193-207,B19,Maintain,Label rates/display currency accurately and separate them from charging currency.
F24,Accounts,Website language selection/localization,Not working at all,A language dropdown is displayed but has no persistence or localized UI/content pipeline. Concierge language claims are not website localization.,assets/js/site.js:2212-2216; assets/js/site.js:2252-2255,Source review,P2,Implement localization and saved language preference or remove the control.
F25,Reservations & money,Checkout wizard and reservation/request creation,Partially functional,The complete browser wizard creates a booking and confirmation. Selected detail-page dates/policy are lost on navigation; returning to the first step breaks date-change binding. Confirmation does not depend on payment.,assets/js/site.js:1071-1095; assets/js/site.js:1361-1616; includes/pricing.php:112-265,"A43, B08, B09, B37",P0,"Preserve wizard state, rebind inputs and gate confirmation on verified payment/approval."
F26,Reservations & money,Booking validation and inventory protection,Partially functional,"Past dates and existing reservation overlaps are rejected, with ownership checks on web actions. Host-blocked and paused listings can still be booked; excess occupancy is silently clamped and the client can choose the cancellation policy.",includes/pricing.php:112-143; includes/pricing.php:190; includes/pricing.php:275-286; api/booking-action.php:15-19,"A45-A47, A51, A66, B38",P0,"Validate live status, blocks, capacity, policy and minimum stay server-side; add MySQL concurrency tests."
F27,Reservations & money,"Quotes, promotions, long-stay discounts and add-on pricing",Partially functional,"Server-side totals and frozen breakdowns are real. Client promo math differs from PHP, calendar/rule prices are ignored, and admin campaigns do not create checkout promos. Tested JOLLOF10 quote differed by ₦10,548.",includes/pricing.php:28-95; assets/js/site.js:423-449; api/admin-action.php:123-146,"A52, A68, B11",P0,"Use one authoritative quote service, connect pricing inputs and revalidate totals before charging."
F28,Reservations & money,Actual payment collection and gateway verification,Not working at all,"No gateway charge/verification/webhook flow is supplied. Booking creates an initiated payment row, labels escrow held and can immediately mark a reservation confirmed. Choosing Card/Paystack/Flutterwave/USSD/etc. does not collect funds.",includes/pricing.php:180-230; assets/js/site.js:1460-1506; api/booking-create.php:1-36,"A44, B37; integration inventory",P0,"Integrate provider test mode, signed webhooks, amount/currency verification and idempotent payment state."
F29,Reservations & money,"Real escrow, refunds and host transfers",Not working at all,Escrow/released/refunded/paid are database labels. Check-in and cancellation change these labels without moving money; there is no custodial settlement/refund/payout implementation.,includes/pricing.php:347-395; api/host-action.php:278-296,"A44, A53, A63; integration inventory",P0,Implement reconciled ledger and provider-supported settlement/refund/payout processes; remove unsupported escrow claims.
F30,Reservations & money,Split-payment collection and security-deposit holds,Not working at all,"A split flag halves the initial recorded amount, but no second charge, mandate or deposit authorization/release exists. A three-night booking can request a feature described as 30+-night-only.",includes/pricing.php:93-94; includes/pricing.php:194-228; assets/js/site.js:1444-1451,B39; source review,P0,Implement staged collection and deposit lifecycle with eligibility validation.
F31,Reservations & money,My Trips/history and status display,Partially functional,"Own reservations render on reload and are separated by status. Mutation refresh reads the wrong response shape, leaving displayed status stale; some trip messaging/key details are hardcoded.",assets/js/site.js:333-341; assets/js/site.js:1713-1782; api/state.php:1-16,guest trips route; B15,P1,Fix state synchronization and derive trip details from actual booking data.
F32,Reservations & money,Reservation modifications,Partially functional,"Requests are stored as booking events/enquiries. The booking dates/price are not changed and no host approval/application workflow exists, despite copy promising immediate rate adjustment.",includes/pricing.php:399-418; api/booking-action.php:21-30; assets/js/site.js:1784-1800,A62,P1,"Add validated proposal, approval, repricing and payment/refund reconciliation."
F33,Reservations & money,Cancellation handling,Partially functional,Cancellation changes booking/payment labels and releases the reservation. It does not calculate the advertised policy-based refund or actually refund; reversing points does not create a compensating ledger entry.,includes/pricing.php:357-388; assets/js/site.js:1800-1820,"A63, A64; source review",P0,"Calculate policy-based amounts, perform provider refunds and reconcile points and inventory atomically."
F34,Reservations & money,Guest check-in/check-out,Partially functional,"Status transitions persist, but a future unpaid reservation can be checked in immediately without date or access-code validation, releasing the escrow label and marking the payment paid. UI refresh is stale.",includes/pricing.php:347-395; assets/js/site.js:1764-1782,"A53, A54, B15",P0,"Enforce schedule, payment and confirmation rules before transitions; record immutable evidence."
F35,Reservations & money,Smart-lock/keyless entry integration,Not working at all,"A code is generated/stored, but no lock-provider provisioning, activation or expiry occurs. Trips also display a fixed 4471# code while claiming smart-lock synchronization.",includes/pricing.php:205; assets/js/site.js:1758; assets/js/site.js:3916,Source/integration inventory,P0,Hide access claims until a real device lifecycle has been integrated and tested.
F36,Reservations & money,Invoices and receipts,Partially functional,"An ownership-protected printable HTML invoice uses the frozen server quote and supports browser Save as PDF. The payments page includes invented receipts; no automatic PDF attachment service exists, and the client invoice preview uses current prices. Unauthorized GET content is withheld but incorrectly returns HTTP 200.",api/invoice.php:15-59; api/invoice.php:127-149; assets/js/site.js:1658-1697; assets/js/site.js:3286-3297,A48-A50; payments route checks,P1,"Use one immutable invoice source, remove invented receipts and return appropriate HTTP statuses."
F37,Reservations & money,Digital lease agreements for long stays,Not working at all,"The UI claims an automatically signed/stored lease, but the agreement action only toasts and there is no document-generation/e-signature/vault workflow.",assets/js/site.js:1444-1446; assets/js/site.js:1652,Source review,P1,Build an auditable agreement workflow or remove the promise.
F38,Reservations & money,Calendar exports and wallet passes,Partially functional,"A Google Calendar template link exists, but it uses today+7/today+10 rather than selected reservation dates. Calendar/Wallet connection and automatic pass-generation claims are unsupported; no wallet-pass generator is supplied.",assets/js/site.js:1163-1166; assets/js/site.js:1535; assets/js/site.js:1550; assets/js/site.js:2219,Source/integration inventory,P1,Generate actual reservation events and passes; do not show fictitious connected states.
F39,Reservations & money,Experience reservations and service fulfilment,Partially functional,"Experience submission saves an enquiry and attempts email; it does not create an experience booking, reserve inventory or collect payment. The API accepts a past date and 9,999 guests. Stay add-ons can affect price, but supplier fulfilment is absent.",api/experience-book.php:1-51; includes/pricing.php:39-50,"A24, A25; experiences route",P1,"Distinguish enquiry from booking, validate capacity/dates and add fulfilment/availability workflow."
F40,Reservations & money,Gift cards,Partially functional,"Creation and balance lookup work as database operations, but cards can be issued unfunded, balances are not debited on checkout, any sufficiently long UI code grants ₦60,000, and arbitrary numeric credit can zero a reservation.",api/giftcard.php:9-68; includes/pricing.php:69-71; assets/js/site.js:1699-1710,"A58-A61, B10",P0,Implement paid issuance and atomic authenticated redemption; never accept client-declared gift value.
F41,Customer tools,Wishlists and named lists,Partially functional,Basic saving and list records persist. New list creation reads r.slug instead of r.data.slug and cannot refresh state; saved items can receive a “Removed” toast because r.saved is read from the wrong level.,api/wishlist.php:1-55; assets/js/site.js:1862-1899,"A16-A18, B12, B13",P1,Align response envelopes and rehydrate named lists immediately after mutation.
F42,Customer tools,Property comparison,Partially functional,"Server-side add/remove and comparison persistence exist, including a four-item limit. The browser reads r.compare rather than r.data.compare, so an add does not update the displayed comparison until reload.",api/compare.php:1-19; assets/js/site.js:1903-1941,"A19, B14",P1,Use the returned compare array and update tray/table synchronously.
F43,Customer tools,Waitlist and availability-alert service,Partially functional,Account enrolment and duplicate prevention work. No cancellation/availability worker or price-drop monitor sends the promised future alerts.,api/waitlist.php:9-33; includes/view.php:193-207,A22; handler/worker inventory,P1,"Implement monitored availability matching, notifications and unsubscribe/expiry controls."
F44,Customer tools,"Loyalty points, ledger and tier progression",Partially functional,"Points and ledger rows are written and displayed, but are awarded before payment; cancellations leave ledger and balance inconsistent. Tier promotion is not implemented. Progress parses “10,000 points” as 10 instead of using minPts.",includes/pricing.php:98-109; includes/pricing.php:232-240; includes/pricing.php:384-388; assets/js/site.js:3367-3386; includes/repo.php:492-510,A64; membership route; seeded tier calculation check,P1,"Award only on settled eligible activity, use reversing ledger entries and implement threshold-based tier changes."
F45,Customer tools,Loyalty reward redemption,Not working at all,"Redeem buttons only show a success toast. No balance check/deduction, redemption record, inventory reservation or fulfilment is performed.",assets/js/site.js:3401-3404,B24,P1,Implement atomic debit and redemption/fulfilment records before showing success.
F46,Customer tools,Referral and affiliate earnings,Not working at all,"Real account referral codes are generated and can be shared from membership, but the referral centre displays a fixed code and fixed statistics. There is no referral attribution, qualification, bilateral credit or affiliate commission/payout engine.",includes/auth.php:206; assets/js/site.js:3390-3399; assets/js/site.js:3436-3451,B25; repository inventory,P1,Implement attribution and qualified-reward ledger; remove sample code/statistics.
F47,Communication & support,In-app notification feed and read/unread state,Fully operational/functional,"Notifications are stored per account, displayed, and can be marked read/all-read with persisted state. This is the internal feed, not external push/SMS delivery.",includes/repo.php:709-740; api/notifications.php:1-21; assets/js/site.js:2022-2051,"A20, B16",Maintain,Add pagination and retention tests for long-lived accounts.
F48,Communication & support,Notification preferences,Partially functional,"A preference API exists, but the browser sends on while PHP reads value, so enabling a setting saves 0. Modal defaults and delivery-channel descriptions do not reflect stored choices.",api/notifications.php:24-31; assets/js/site.js:2036-2065,A21,P1,"Use stable preference keys, load persisted values and apply them to delivery workers."
F49,Communication & support,"Push, SMS and WhatsApp notifications",Not working at all,The UI claims these channels are on; only a mobile push-token storage field is provided. No actual dispatch integration or scheduled reminder/price-drop delivery is supplied.,assets/js/site.js:2036-2041; api/mobile/auth.php:95-106,Integration/worker inventory,P1,"Integrate providers, consent, queues, retries and delivery receipts."
F50,Communication & support,Newsletter signup/data capture,Fully operational/functional,"The real footer/API signup validates email, deduplicates and stores subscribers. This does not include newsletter sending; the separate Journal top Subscribe control is only a toast.",api/newsletter.php:1-30; assets/js/site.js:4178-4190,A23; B23 identifies the separate stub,Maintain,Wire the Journal button to the existing subscription flow and use consent-aware mailing tools.
F51,Communication & support,Transactional email delivery,Partially functional,"Booking/welcome/enquiry/invoice mail code exists using PHP mail or a minimal SMTP client. Delivery was intentionally disabled in the audit, so no deliverability claim is made. Several callers ignore send results; the SMTP client does not validate SMTP reply status codes.",includes/mailer.php:19-95; includes/mailer.php:129-180; api/invoice.php:143-149,A50; source review; external transport untested,P1,"Test with a mail sandbox, validate SMTP replies and queue/retry/report failures accurately."
F52,Communication & support,"Inbox, concierge/support messages and host chat",Partially functional,"Own conversation messages persist and concierge can reply. A listing’s Message CTA opens concierge instead of the intended host, because the binder ignores the query; new users have no host thread. No real-time transport, operator reply console, media/translation pipeline or genuine read-receipt workflow is supplied. Stored text is rendered as HTML on reopening a thread.",api/message-send.php:1-53; includes/repo.php:745-808; assets/js/site.js:1945-2019; assets/js/site.js:4054,"A27-A29, B17, B18",P0,"Escape/sanitize messages, bind the chosen thread, model both participants and implement delivery/read workflows."
F53,Communication & support,AI concierge,Partially functional,"A useful catalogue/rule-based responder works; an optional external model hook exists. It does not actually book, arrange suppliers or translate chat. Availability intent uses a fixed near-term window rather than the requested dates, and fallback replies overstate implemented services.",includes/concierge.php:21-171; assets/js/site.js:2069-2174,"A26, A27; concierge route; external model untested",P1,"Keep answers grounded in authoritative inventory and capabilities; add controlled, confirmed actions if desired."
F54,Communication & support,Advertised advanced AI suite,Not working at all,"No implementations were found for the claimed collaborative recommendations, visual search, predictive pricing, automatic review summarisation, listing A/B optimisation, translation, sustainability scoring or automated risk models. Simple rules and stored text should not be presented as those services.",assets/js/site.js:2134-2149; assets/js/site.js:3762-3774; includes/repo.php:1269-1305,Source/integration inventory,P2,Remove “all live” claims or implement and evaluate each capability separately.
F55,Communication & support,"Disputes, community reporting/blocking and emergency actions",Not working at all,"File dispute, report concern and blocked-user controls only toast. Emergency buttons also only say “Dialling/connecting” and do not initiate a call. The separate inbox concierge tel: link is real but does not implement these controls.",assets/js/site.js:2223-2229; assets/js/site.js:3510-3519; assets/js/site.js:1976,B27; source review,P0,Remove false safety confirmations immediately; implement reporting/case workflows and real emergency links.
F56,Owner workspace,Owner account provisioning,Fully operational/functional,"Owner signup creates the role/ownership flag, payout-settings row, channel rows and default templates; the owner workspace loads. This provisioning is not evidence of live channels, KYC or payouts.",includes/auth.php:191-213; includes/auth.php:291-349; api/host-action.php:10-22,"A09, A10; owner route checks",Maintain,Test customer-to-owner upgrade alongside new-owner provisioning.
F57,Owner workspace,Listing creation wizard and submission,Partially functional,"The wizard creates pending listings, but selected city/type/policy are omitted by wizGather and submitted as Lagos/Apartment/moderate. Minimum stay, discount/rule selections and some other fields are not carried through; approved unreviewed listings can break detail rendering.",assets/js/site.js:2470-2506; assets/js/site.js:2582-2688; api/listing-create.php:12-66,"A30, B28; failed new-listing detail routes",P1,Define a complete validated listing schema and persist every editable field with safe defaults.
F58,Owner workspace,Listing photo upload/storage,Not working at all,"Local files produce browser blob previews, but submission sends only filenames and the API stores those names. No binary upload/storage pipeline exists; the resulting uploaded-photo URL returned 404.",assets/js/site.js:2545-2560; assets/js/site.js:2675-2680; api/listing-create.php:55-60,B29,P1,"Implement authenticated multipart uploads, validation, durable storage and gallery URLs."
F59,Owner workspace,Save-and-return listing drafts,Not working at all,Wizard state exists only in a JavaScript object; refreshing loses title/progress despite the explicit “Progress is never lost” promise.,assets/js/site.js:2450-2454; assets/js/site.js:2648-2665,B30,P1,Persist versioned drafts server-side and restore them per account.
F60,Owner workspace,Manage listing base price and publication status,Partially functional,"Owners can update their own base price and pause/resume an approved listing, with cross-owner protection. Full detail/media editing is absent and pausing does not stop direct API reservations.",api/host-action.php:117-154; assets/js/site.js:2818-2855,"A34, A35, A65, A66",P1,Provide complete listing editing and enforce status in every booking path.
F61,Owner workspace,"Calendar blocking, per-date prices and pricing rules",Partially functional,"Month navigation, day/bulk overrides and rule records persist. Guest availability and Pricing::quote do not consume them: a blocked day remained bookable and a ₦400,000 override with +50% rule still quoted the ₦155,000 base rate.",api/host-action.php:38-114; api/host-action.php:156-185; includes/repo.php:1181-1235; includes/pricing.php:28-35,"A36-A38, A51, A52, B31",P0,Integrate owner calendar/rules into one authoritative quote/availability engine.
F62,Owner workspace,Host approval/decline of booking requests,Not working at all,"Pending requests can be recorded and listed, but the owner workspace has no approve/decline workflow. Admin has a transition endpoint; mobile incorrectly lets the guest approve their own request. No automatic 24-hour expiry job was found.",assets/js/site.js:2802-2816; api/host-action.php:1-301; api/admin-action.php:151-158; api/mobile/action.php:72-93,M08; source/handler inventory,P0,Add host-owned decision endpoints/UI and expiry rules; prevent guest self-approval.
F63,Owner workspace,"Host dashboard, analytics and earnings forecasts",Partially functional,"Dashboard data is queried by owner and charts/what-if tools render. “90-day” occupancy uses all sold nights divided by 90, financial figures include uncollected reservations, and the home-page earnings estimator omits the thousands multiplier used correctly on the host page.",includes/repo.php:1010-1045; includes/repo.php:1095-1133; assets/js/site.js:821-829; assets/js/site.js:2422-2432; assets/js/site.js:2944-2955,10 owner tab checks; source review,P1,Define time windows and settled-money metrics consistently; correct estimator units.
F64,Owner workspace,Co-host/team invitations and permissions,Partially functional,"Invite/revoke records are saved and displayed, but no invitation delivery/acceptance, co-host account linkage or effective delegated permissions are implemented.",api/host-action.php:188-228; assets/js/site.js:3186-3204,A39; team route; authorization inventory,P1,Implement expiring invitations and enforce scoped team permissions on every endpoint.
F65,Owner workspace,Manual message-template management,Fully operational/functional,"Templates can be created, edited, removed and viewed for the signed-in owner; browser editing persisted and reloaded. Automatic use of those templates is a separate missing feature.",api/host-action.php:231-257; assets/js/site.js:3133-3149; assets/js/site.js:3207-3221,"A40, B32; ownership/source checks",Maintain,Add full create/delete regression coverage and placeholder validation.
F66,Owner workspace,Automatic scheduled/triggered guest messages,Not working at all,"Triggers can be selected and stored, but no job or booking-event consumer sends the configured templates.",api/host-action.php:231-247; includes/repo.php:1248-1251; assets/js/site.js:3138-3147,Repository worker/call-site inventory,P1,Implement idempotent trigger processing and scheduled delivery.
F67,Owner workspace,Two-way Airbnb/Booking.com/VRBO channel manager,Not working at all,"Connect simply changes a database flag and last-sync time, then claims availability syncs both ways. No credentials, provider API, iCal import/export or synchronization worker is supplied.",api/host-action.php:260-275; assets/js/site.js:3224-3240,A41,P0,Do not claim connected until a real integration authenticates and successfully synchronizes.
F68,Owner workspace,Payout settings and payout history,Partially functional,"Bank name/account name/schedule and the last four digits are stored, and history can be read/exported. The full account/beneficiary information and bank validation needed to actually pay an owner are absent; no transfer execution exists.",api/host-action.php:278-296; includes/repo.php:1258-1266; assets/js/site.js:3245-3271,"A42, H02; payout route",P0,Create verified provider beneficiaries and reconcile actual transfers before showing paid balances.
F69,Owner workspace,"Inspection, photography/tour scheduling and AI listing rewrite",Not working at all,"These action buttons only toast; they do not create appointments, contact photographers or rewrite/save listing content. “KYC complete” and listing-optimisation suggestions are static.",assets/js/site.js:2405-2407; assets/js/site.js:2523-2532; assets/js/site.js:2636-2643,Source review,P2,Implement real service requests/content generation or label these as unavailable.
F70,Back office,Admin authentication and role gate,Partially functional,"Ordinary guests are denied admin pages/actions. The dedicated admin login can check a configured static OTP, but the ordinary login authenticates an admin without that OTP even when the option is enabled. The tracked configuration currently disables admin 2FA.",api/admin-auth.php:1-43; api/auth.php:46-65; includes/auth.php:219-235,A12-A14; admin route checks,P0,"Enforce MFA centrally for every admin authentication path, including mobile; replace shared static OTP with actual MFA."
F71,Back office,User search and manual verification management,Partially functional,Loaded users can be searched and status/KYC flags can be changed. Only the first 200 are loaded with no paging; verification is not backed by an identity workflow and role assignment is not a complete permissions editor.,includes/repo.php:813-825; api/admin-action.php:42-63; assets/js/site.js:3713-3747,"A71, B33; source review",P1,Add paginated user management and an evidence-backed verification/role workflow.
F72,Back office,Account suspension enforcement,Not working at all,"Suspend updates users.status, but login/mobile authorization inspect users.status_level. A freshly suspended synthetic account could sign in again; existing sessions are not revoked by this action.",api/admin-action.php:54-62; includes/auth.php:219-235; api/mobile/_mobile.php:106-124,"A71, A72",P0,Use one enforced account-state model; revoke sessions/tokens and block suspended users everywhere.
F73,Back office,Listing moderation,Partially functional,"Pending listings appear in the queue; approve/reject persists status, audit entries and owner notifications. The preview link returns 404 for pending listings, reviewer notes are not collected, mobile can publish without approval, and newly approved listings can crash their public page.",includes/repo.php:866-917; api/admin-action.php:16-38; assets/js/site.js:3684-3711; stay.php:9-16,"A31-A33, M11; detail route failures",P0,"Provide authenticated preview, require moderation consistently and validate publish-ready data."
F74,Back office,Review publication/rejection and aggregate recalculation,Partially functional,Admin publication/rejection persists and recalculates non-empty published aggregates. Rejecting the last published review leaves its old rating and review count in place rather than resetting them. Mobile review eligibility is also weaker than web.,api/admin-action.php:173-187; includes/repo.php:584-596,"A55-A57, A76",P1,"Reset zero-review aggregates, calculate category scores consistently and unify submission eligibility."
F75,Back office,Promotion/campaign management,Partially functional,"Campaign records save and can be edited. Checkout reads promos, not campaigns, so creating a Live campaign does not create a usable discount. Revenue attribution/scheduling is not implemented by those records.",api/admin-action.php:123-146; includes/repo.php:108-127; assets/js/site.js:3749-3759; assets/js/site.js:3978-3992,"A67, A68, B34",P1,"Unify campaign and promo rules, dates, eligibility, limits and redemption attribution."
F76,Back office,Content management/public publishing,Partially functional,"CMS blocks can be created, edited and toggled in the back office. Public templates do not consume those blocks; publishing a unique test block did not change the home page. No full journal/property content editor is provided.",api/admin-action.php:85-119; includes/repo.php:840-847; assets/js/site.js:3777-3786; assets/js/site.js:3962-3975,"A69, A70, B35; public-template inventory",P1,Map block keys to actual pages and implement preview/publication behavior.
F77,Back office,Fraud case monitoring and escalation,Partially functional,"Stored flags can be listed, resolved or relabelled escalated. No risk-signal producer/AI scoring engine or risk-team notification workflow was found; an empty list is not proof that the platform is safe.",api/admin-action.php:67-82; includes/repo.php:830-832; assets/js/site.js:3762-3774,Fraud route; source/call-site inventory,P1,"Implement real signals, case ownership and escalation; remove unsupported live-AI assurances."
F78,Back office,Admin and owner CSV record exports,Fully operational/functional,"All eight supplied admin CSVs and both owner CSVs returned data in CSV form. Admin access and host ownership scoping exist. These export stored records, not independently verified cash, remittances or accounting statements.",api/report.php:6-80; api/host-report.php:6-56,"R01-R08, H01-H02",Maintain,"Add accounting reconciliation, spreadsheet-formula hardening and large-export tests."
F79,Back office,Audit logging and audit-log viewer,Partially functional,Actions generate database log records which can be viewed/exported. The claimed “immutable” log is an ordinary mutable table without append-only/tamper-evidence controls; not every business claim is backed by a real audited operation.,includes/helpers.php:244-255; api/report.php:55-69; assets/js/site.js:3819-3829,R08; admin audit route; source review,P1,Define audited events and protect logs with restricted append-only storage and retention.
F80,Business services,"Corporate demo requests, company travel portal and consolidated billing",Not working at all,"The business demo button does not submit anything; corporate metrics are fixed. No company/team travel portal, purchase-order workflow, departmental policy engine or consolidated invoice implementation is supplied.",assets/js/site.js:3315-3329; assets/js/site.js:3535-3556,B22; repository endpoint inventory,P1,Start with a real enquiry form; build company/employee/billing models before promising a corporate portal.
